Line,Rep,Year,Loc,Harvest,Yield,Brix,pH,TA
SCT_0113,2,2009,CA,9/16/10,NA,5.38,4.42,0.27
SCT_0113,2,2010,OH,9/28/14,35712.26,5.2,4.48,0.3
SCT_0113,2,2010,CA,NA,NA,4.06,4.38,0.27
SCT_0114,1,2009,OH,9/10/13,NA,5.3,4.32,0.36
SCT_0114,1,2009,CA,9/12/10,42381.45,4.65,4.54,0.28
SCT_0114,1,2010,CA,NA,NA,4.39,4.51,0.25
SCT_0114,2,2009,OH,9/14/13,NA,5.5,4.22,0.42
SCT_0114,2,2009,CA,9/16/10,NA,5.12,4.47,0.3
SCT_0114,2,2010,CA,NA,NA,5.09,4.65,0.21
SCT_0115,1,2009,OH,9/7/13,NA,5.6,4.23,0.43
SCT_0115,1,2009,CA,9/12/10,54593.05,5.2,4.45,0.32
SCT_0115,1,2010,CA,NA,NA,4.33,4.51,0.27
SCT_0115,2,2009,OH,9/16/13,NA,6.2,4.3,0.48
SCT_0115,2,2009,CA,9/16/10,NA,5.12,4.56,0.26
SCT_0115,2,2010,OH,9/23/14,71004.38,5.8,4.49,0.41
SCT_0115,2,2010,CA,NA,NA,4.46,4.53,0.29
SCT_0116,1,2009,OH,9/7/13,NA,5.2,4.33,0.43
SCT_0116,1,2009,CA,9/18/10,31606.5,5.25,4.33,0.4
SCT_0116,1,2010,CA,NA,NA,4.51,4.33,0.32
SCT_0116,2,2009,OH,9/14/13,NA,5.5,4.21,0.5
SCT_0116,2,2009,CA,9/12/10,NA,5.12,4.48,0.29
SCT_0116,2,2010,OH,9/23/14,125763.18,5.2,4.35,0.39
SCT_0116,2,2010,CA,NA,NA,4.6,4.39,0.31
SCT_0117,1,2009,OH,9/7/13,NA,4.8,4.2,0.38
SCT_0117,1,2009,CA,9/12/10,62494.68,4.95,4.43,0.27
SCT_0117,1,2010,CA,NA,NA,4.11,4.52,0.23
SCT_0117,2,2009,OH,9/16/13,NA,5.3,4.22,0.4
SCT_0117,2,2009,CA,9/16/10,NA,4.07,4.55,0.24
SCT_0117,2,2010,OH,9/28/14,113859.09,4.9,4.53,0.3
SCT_0117,2,2010,CA,NA,NA,4.39,4.63,0.19
SCT_0118,1,2009,OH,9/7/13,NA,4.8,4.22,0.48
SCT_0118,1,2009,CA,9/16/10,32324.83,4.45,4.31,0.4
SCT_0118,1,2010,CA,NA,NA,4.34,4.43,0.29
SCT_0118,2,2009,OH,9/14/13,NA,4.8,4.3,0.46
SCT_0118,2,2009,CA,9/16/10,NA,4.29,4.38,0.33
SCT_0118,2,2010,OH,9/23/14,98173.7,4.4,4.39,0.41
SCT_0118,2,2010,CA,NA,NA,5.02,4.41,0.32
SCT_0119,1,2009,OH,9/7/13,NA,5.1,4.34,0.33
SCT_0119,1,2009,CA,9/12/10,45254.76,5.2,4.54,0.3
SCT_0119,1,2010,CA,NA,NA,5.97,4.54,0.19
SCT_0119,2,2009,OH,9/14/13,NA,5.8,4.24,0.43
SCT_0119,2,2009,CA,9/10/10,NA,5.07,4.59,0.25
SCT_0119,2,2010,OH,9/16/14,67363.13,5.9,4.74,0.36
SCT_0119,2,2010,CA,NA,NA,4.45,4.51,0.25
SCT_0120,1,2009,OH,9/7/13,NA,5,4.3,0.39
SCT_0120,1,2009,CA,9/10/10,39508.13,5.55,4.59,0.29
SCT_0120,1,2010,CA,NA,NA,NA,NA,NA
SCT_0120,2,2009,OH,9/14/13,NA,5.2,4.49,0.39
SCT_0120,2,2009,CA,9/10/10,NA,4.8,4.67,0.25
SCT_0120,2,2010,OH,9/23/14,72404.86,5.7,4.6,0.4
SCT_0120,2,2010,CA,NA,NA,4.74,4.68,0.23
SCT_0121,1,2009,OH,9/7/13,NA,6.8,4.24,0.5
SCT_0121,1,2009,CA,9/14/10,37353.14,5.45,4.25,0.42
SCT_0121,1,2010,CA,NA,NA,4.09,4.41,0.42
SCT_0121,2,2009,OH,9/16/13,NA,6.3,4.32,0.49
SCT_0121,2,2009,CA,10/2/10,NA,5.64,4.32,0.37
SCT_0121,2,2010,OH,9/30/14,78146.83,6.6,4.43,0.5
SCT_0121,2,2010,CA,NA,NA,5.99,4.42,0.36
SCT_0122,1,2009,OH,9/7/13,NA,4.4,4.46,0.29
SCT_0122,1,2009,CA,9/10/10,41663.12,4.75,4.61,0.2
SCT_0122,1,2010,CA,NA,NA,3.71,4.52,0.2
SCT_0122,2,2009,OH,9/16/13,NA,4.8,4.23,0.36
SCT_0122,2,2009,CA,9/10/10,NA,4.57,4.62,0.22
SCT_0122,2,2010,OH,9/16/14,82488.32,5,4.3,0.4
SCT_0122,2,2010,CA,NA,NA,3.83,4.54,0.19
SCT_0123,1,2009,OH,9/10/13,NA,4.4,4.5,0.32
SCT_0123,1,2009,CA,9/10/10,27296.52,4.9,4.69,0.24
SCT_0123,1,2010,CA,NA,NA,3.95,4.53,0.22
SCT_0123,2,2009,OH,9/14/13,NA,5,4.32,0.34
SCT_0123,2,2009,CA,9/10/10,NA,4.97,4.5,0.26
SCT_0123,2,2010,OH,9/30/14,64842.26,4.4,4.41,0.31
SCT_0123,2,2010,CA,NA,NA,3.68,4.59,0.2
SCT_0124,1,2009,OH,9/7/13,NA,4.7,4.21,0.44
SCT_0124,1,2009,CA,9/16/10,51001.4,5.4,4.41,0.33
SCT_0124,1,2010,CA,NA,NA,5.39,4.29,0.41
SCT_0124,2,2009,OH,9/16/13,NA,5.9,4.18,0.62
SCT_0124,2,2009,CA,9/18/10,NA,5.7,4.29,0.42
SCT_0124,2,2010,OH,9/30/14,87670.1,5.2,4.53,0.36
SCT_0124,2,2010,CA,NA,NA,5.97,4.56,0.23
SCT_0125,1,2009,OH,9/7/13,NA,5.5,4.33,0.39
SCT_0125,1,2009,CA,9/16/10,52438.06,5.35,4.51,0.31
SCT_0125,1,2010,CA,NA,NA,5.64,4.51,0.3
SCT_0125,2,2009,OH,9/14/13,NA,5.9,4.37,0.51
SCT_0125,2,2009,CA,9/16/10,NA,4.03,4.22,0.36
SCT_0125,2,2010,OH,9/28/14,77586.64,5.4,4.65,0.33
SCT_0125,2,2010,CA,NA,NA,4.24,4.29,0.34
SCT_0126,1,2009,OH,9/7/13,NA,5.5,4.33,0.49
SCT_0126,1,2009,CA,10/5/10,72551.29,5.35,4.4,0.37
SCT_0126,1,2010,CA,NA,NA,4.65,4,0.35
SCT_0126,2,2009,OH,9/14/13,NA,5.8,4.23,0.53
SCT_0126,2,2009,CA,9/16/10,NA,5.17,4.42,0.32
SCT_0126,2,2010,OH,9/30/14,70864.33,5.5,4.43,0.39
SCT_0126,2,2010,CA,NA,NA,5.48,4.54,0.27
SCT_0127,1,2009,OH,9/7/13,NA,5.8,4.16,0.57
SCT_0127,1,2009,CA,10/2/10,84044.56,5.05,4.22,0.43
SCT_0127,1,2010,CA,NA,NA,5.04,4.41,0.31
SCT_0127,2,2009,OH,9/14/13,NA,5.7,3.93,0.69
SCT_0127,2,2009,CA,10/10/10,NA,5.25,4.22,0.48
SCT_0127,2,2010,OH,9/30/14,126183.32,6,4.24,0.57
SCT_0127,2,2010,CA,NA,NA,6.57,4.37,0.4
SCT_0128,1,2009,OH,9/7/13,NA,5.6,4.26,0.44
SCT_0128,1,2009,CA,9/20/10,47409.75,5.35,4.29,0.4
SCT_0128,1,2010,CA,NA,NA,NA,4.38,0.26
SCT_0128,2,2009,OH,9/16/13,NA,6.1,4.15,0.42
SCT_0128,2,2009,CA,9/20/10,NA,5.32,4.33,0.36
SCT_0128,2,2010,OH,9/28/14,91031.25,7.6,4.41,0.44
SCT_0128,2,2010,CA,NA,NA,5.11,4.33,0.3
SCT_0129,1,2009,OH,9/10/13,NA,5.1,4.36,0.32
SCT_0129,1,2009,CA,9/10/10,39508.13,5.05,4.56,0.25
SCT_0129,1,2010,CA,NA,NA,4.1,4.58,0.22
SCT_0129,2,2009,OH,9/14/13,NA,4.4,4.3,0.38
SCT_0129,2,2009,CA,9/12/10,NA,4.66,4.34,0.28
SCT_0129,2,2010,OH,9/16/14,90611.11,5,4.31,0.47
SCT_0129,2,2010,CA,NA,NA,3.69,4.4,0.22
SCT_0130,1,2009,OH,9/7/13,NA,5.6,4.35,0.29
SCT_0130,1,2009,CA,9/12/10,58903.03,NA,NA,NA
SCT_0130,1,2010,CA,NA,NA,4.2,4.58,0.21
SCT_0130,2,2009,OH,9/16/13,NA,6.5,4.37,0.37
SCT_0130,2,2009,CA,9/16/10,NA,5.27,4.57,0.25
SCT_0130,2,2010,OH,9/16/14,121981.88,4.9,4.45,0.36
SCT_0130,2,2010,CA,NA,NA,4.44,4.69,0.19
SCT_0131,2,2009,OH,9/21/13,NA,6,4.43,0.33
SCT_0131,2,2009,OH,9/21/13,NA,5.7,4.45,0.34
SCT_0131,2,2010,OH,9/23/14,53778.46,5.6,4.43,0.38
SCT_0132,1,2009,OH,9/7/13,NA,6.3,4.27,0.41
SCT_0132,1,2009,CA,9/16/10,25859.87,6.75,4.3,0.5
SCT_0132,1,2010,CA,NA,NA,6.14,4.46,0.33
SCT_0132,2,2009,OH,9/14/13,NA,6.9,4.31,0.5
SCT_0132,2,2009,CA,9/16/10,NA,6.43,4.35,0.38
SCT_0132,2,2010,OH,9/28/14,53358.32,6.8,4.36,0.53
SCT_0132,2,2010,CA,NA,NA,7.29,4.66,0.3
SCT_0133,1,2009,OH,9/10/13,NA,4.6,4.44,0.26
SCT_0133,1,2009,CA,9/16/10,59621.36,4.7,4.54,0.2
SCT_0133,1,2010,CA,NA,NA,4.28,4.57,0.2
SCT_0133,2,2009,OH,9/16/13,NA,4.9,4.24,0.37
SCT_0133,2,2009,CA,9/14/10,NA,4.55,4.69,0.19
SCT_0133,2,2010,CA,NA,NA,3.79,4.66,0.17
SCT_0134,1,2009,OH,9/10/13,NA,5.9,4.15,0.6
SCT_0134,1,2009,CA,9/12/10,43818.11,5.2,4.35,0.38
SCT_0134,1,2010,CA,NA,NA,5.12,4.2,0.41
SCT_0134,2,2009,OH,9/16/13,NA,6.2,4.06,0.68
SCT_0134,2,2009,CA,9/14/10,NA,5.9,4.33,0.38
SCT_0134,2,2010,OH,9/30/14,70444.18,5.8,4.28,0.52
SCT_0134,2,2010,CA,NA,NA,4.56,4.47,0.32
SCT_0135,1,2009,OH,9/7/13,NA,6.1,4.31,0.49
SCT_0135,1,2009,CA,9/10/10,47409.75,5.1,4.64,0.26
SCT_0135,1,2010,CA,NA,NA,4.95,3.82,0.29
SCT_0135,2,2009,OH,9/14/13,NA,5.5,4.32,0.36
SCT_0135,2,2009,CA,9/12/10,NA,6.04,4.74,0.25
SCT_0135,2,2010,OH,9/16/14,54618.75,5.7,4.42,0.45
SCT_0135,2,2010,CA,NA,NA,4.63,4.76,0.19
SCT_0136,1,2009,OH,9/7/13,NA,5.7,4.35,0.38
SCT_0136,1,2009,CA,9/16/10,53874.72,4.8,4.41,0.34
SCT_0136,1,2010,CA,NA,NA,4.88,4.32,0.37
SCT_0136,2,2009,OH,9/14/13,NA,5.7,4.26,0.52
SCT_0136,2,2009,CA,9/18/10,NA,5.03,4.5,0.32
SCT_0136,2,2010,OH,9/16/14,74645.63,5.4,4.48,0.37
SCT_0136,2,2010,CA,NA,NA,5.01,4.21,0.49
SCT_0137,1,2009,OH,9/7/13,NA,4.6,4.43,0.31
SCT_0137,1,2009,CA,9/14/10,57466.37,4.75,4.58,0.24
SCT_0137,1,2010,CA,NA,NA,4.78,4.45,0.25
SCT_0137,2,2009,OH,9/16/13,NA,5.1,4.39,0.31
SCT_0137,2,2009,CA,9/16/10,NA,5.18,4.55,0.26
SCT_0137,2,2010,OH,9/28/14,74505.58,4.9,4.46,0.34
SCT_0137,2,2010,CA,NA,NA,5.26,4.59,0.22
SCT_0138,1,2009,OH,9/21/13,NA,5.4,4.4,0.3
SCT_0138,2,2009,OH,9/21/13,NA,5.2,4.5,0.28
SCT_0138,2,2010,OH,9/16/14,39213.46,6,4.39,0.38
SCT_0139,1,2009,OH,9/7/13,NA,5.8,4.24,0.38
SCT_0139,1,2009,CA,9/14/10,58184.7,6,4.44,0.31
SCT_0139,1,2010,CA,NA,NA,5.35,4.41,0.31
SCT_0139,2,2009,OH,9/14/13,NA,5.2,4.43,0.45
SCT_0139,2,2009,CA,9/12/10,NA,6.27,4.39,0.34
SCT_0139,2,2010,OH,9/30/14,93272.02,6.9,4.47,0.37
SCT_0139,2,2010,CA,NA,NA,4.61,4.46,0.28
SCT_0140,1,2009,OH,9/7/13,NA,5.4,4.07,0.57
SCT_0140,1,2009,CA,9/12/10,52438.06,5.65,4.27,0.35
SCT_0140,1,2010,CA,NA,NA,4.91,4.33,0.3
SCT_0140,2,2009,OH,9/14/13,NA,4.9,4.12,0.46
SCT_0140,2,2009,CA,9/12/10,NA,5.04,4.28,0.37
SCT_0140,2,2010,OH,9/28/14,70024.04,5.6,4.2,0.6
SCT_0140,2,2010,CA,NA,NA,4.53,4.58,0.24
SCT_0141,1,2009,OH,9/7/13,NA,4,4.28,0.33
SCT_0141,1,2009,CA,9/12/10,76861.27,4.65,4.43,0.2
SCT_0141,1,2010,CA,NA,NA,3.68,4.44,0.19
SCT_0141,2,2009,OH,9/14/13,NA,4.5,4.35,0.37
SCT_0141,2,2009,CA,9/16/10,NA,4.66,4.44,0.25
SCT_0141,2,2010,OH,9/23/14,84308.94,5.2,4.27,0.41
SCT_0141,2,2010,CA,NA,NA,3.58,4.42,0.21
SCT_0142,1,2009,OH,9/7/13,NA,4.4,4.5,0.3
SCT_0142,1,2009,CA,9/16/10,53874.72,5.3,4.44,0.3
SCT_0142,1,2010,CA,NA,NA,4.21,4.5,0.22
SCT_0142,2,2009,OH,9/14/13,NA,5.7,4.31,0.53
SCT_0142,2,2009,CA,9/16/10,NA,4.87,4.35,0.28
SCT_0142,2,2010,OH,9/23/14,62321.4,6,4.39,0.44
SCT_0142,2,2010,CA,NA,NA,6.46,4.61,0.35
SCT_0478,1,2009,OH,9/7/13,NA,6.1,4.45,0.36
SCT_0478,2,2009,OH,9/14/13,NA,5.9,4.26,0.46
SCT_0478,2,2010,OH,9/28/14,91591.45,4.8,4.36,0.47
SCT_0478,2,2010,OH,9/23/14,67363.13,5.1,4.31,0.41
